Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C18, C20, C4",0402,6,1u,C52923
"C10, C11, C12, C13, C14, C17, C19, C22, C3, C6",0402,10,0u1,C307331
"C2, C5, C7",0805,3,10u,C440198
"C21, C23, C24",0805,3,22u,C45783
"C8, C9",0603,2,20p,C1648
"D1, D2, D3, D4, D5",Diode_DFN1006,5,H5VU10U,C22395519
D7,0805,1,YELLOW,C2296
D8,D_SMA,1,SMAJ12A,C19077531
D9,0805,1,GREEN,C2297
FB1,0805,1,600Ω@100M,C81034
J6,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_01x08,
R1,0402,1,100,C25076
"R10, R13",0402,2,5k1,C25905
R11,0402,1,1k,C11702
R12,0402,1,2k,C4109
R2,0603,1,33,C23140
"R5, R6, R7",0402,3,10k,C25744
R8,0603,1,560,C23204
R9,1206,1,120,C17909
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,C720477
U1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,SYS1002-H2,C5184223
U2,Sensortech_MiCS_5x7mm_P1.25mm,1,MiCS-5524,C3659348
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LMC6482,C95583
U4,SOT-89-3,1,HT753-1,C14289
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U6,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U7,Texas_PWSON-N6,1,HTU21,C83479
U8,Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,1,LM73100,C3210761
U9,Sciosense_ENS160_LGA_9_3x3mm,1,ENS16x,C3659288
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
