Designator,Mid X,Mid Y,Rotation,Layer
C1,42.73,40.25,0.0,top
C10,26.73,17.25,0.0,top
C11,24.77,7.75,180.0,top
C12,17.25,17.25,180.0,top
C13,45.7,26.77,90.0,top
C14,19.0,19.25,0.0,top
C15,15.52,12.25,180.0,top
C16,15.5,7.75,0.0,top
C17,32.0,56.02,90.0,top
C18,50.2,32.75,270.0,top
C19,33.0,63.75,180.0,top
C2,39.45,36.25,180.0,top
C20,4.68,39.0,180.0,top
C21,45.46,33.5,270.0,top
C22,31.5,62.25,270.0,top
C23,43.45,33.5,270.0,top
C24,44.7,30.75,0.0,top
C3,20.5,46.75,180.0,top
C4,55.25,39.75,90.0,top
C5,27.0,4.5,270.0,top
C6,54.25,10.25,180.0,top
C7,39.45,29.25,0.0,top
C8,10.375,19.75,180.0,top
C9,10.35,11.75,180.0,top
D1,30.25,16.25,90.0,top
D2,30.25,12.25,270.0,top
D3,30.25,14.25,270.0,top
D4,35.25,14.75,90.0,top
D5,35.25,12.325,270.0,top
D7,30.5,3.75,270.0,top
D8,52.45,33.25,90.0,top
D9,49.01,36.76,180.0,top
FB1,15.5,10.0,270.0,top
FID1,60.0,15.0,0.0,top
FID2,49.0,58.0,0.0,top
FID3,5.0,16.0,0.0,top
H1,56.0,58.0,0.0,top
H2,6.0,55.0,0.0,top
H3,64.0,13.0,0.0,top
H4,6.0,6.0,0.0,top
H5,6.0,61.0,0.0,top
H6,61.0,6.0,0.0,top
H7,61.0,61.0,0.0,top
J1,44.56,43.0,90.0,top
J2,32.75,14.25,90.0,top
J3,59.06,43.0,90.0,top
J4,58.7,29.25,90.0,top
J5,19.69,4.5,270.0,top
J6,43.0,11.73,270.0,top
JP1,47.7,22.75,0.0,top
R1,15.5,61.5,90.0,top
R10,29.0,3.75,270.0,top
R11,49.5,35.25,0.0,top
R12,49.5,34.25,0.0,top
R13,48.01,34.75,270.0,top
R2,27.0,63.0,90.0,top
R3,10.46,50.755,0.0,top
R4,21.54,50.75,180.0,top
R5,63.5,40.01,180.0,top
R6,59.75,40.0,0.0,top
R7,50.5,17.25,270.0,top
R8,13.25,14.25,270.0,top
R9,51.95,22.75,180.0,top
SW1,54.0,17.5,180.0,top
SW2,54.25,6.75,90.0,top
TP1,13.25,56.25,0.0,top
TP2,20.0,55.5,0.0,top
TP3,8.0,44.75,0.0,top
TP4,23.0,45.0,0.0,top
TP5,39.45,26.25,0.0,top
TP6,34.45,23.0,180.0,top
U1,12.5,61.5,0.0,top
U10,19.55,31.42,0.0,top
U2,21.25,61.5,90.0,top
U3,15.75,45.0,270.0,top
U4,39.7,32.75,180.0,top
U5,49.95,26.75,270.0,top
U6,22.0,13.5,270.0,top
U7,29.5,56.5,0.0,top
U8,48.2,31.49,270.0,top
U9,33.75,61.5,180.0,top
Y1,10.35,15.75,90.0,top
